tweet,labels
montrell_ im tire bitch say look mean  nigga big af wear tight shirt grim everybodi,Offensive Speech
motherjon 10 bird grandkid may never see thank climat chang   climat,No Hate and Offensive Speech
mvckfadden stay beauti bitch,Offensive Speech
"nickiminaj wutkindar purpl ceeeleeeman gurl jus playin stupid hoe  track still shit sum gurl",Offensive Speech
nastycopp money get taller bitch get blurri,Offensive Speech
newsomejad aint never seen bitch obsess nigg4 im obsess mine ,Offensive Speech
nicholas_t kobe stay talk trash let forget  j_austi meant one smh,Offensive Speech
"nochillpaz least im nigger lmfao",Hate Speech
no_fakingg peopl alway ask im mix bad asian bitch lol,Offensive Speech
notoriousb _whiteponyjr_ ariza snake coward least isnt crippl like hero roach lmaoo,Hate Speech
"osay_it_aint_so 0ignorealllaw foster home imaginari tras21 whoa chillthat show everyth tf",No Hate and Offensive Speech
officialreplay lowkey tire tire quiet go sleep hoe,Offensive Speech
prayingforhead 0macklemro stop bring weird nigger mention prayingforhea21 ,Offensive Speech
prettyboss_brat dont love hoe ,Offensive Speech
patrickquelo yo girl cant homeboy ol weak bitch ass nigga,Offensive Speech
patsfanjo d_palomin think worst advic gave  dont pussi speed lol,Offensive Speech
poemsporn quot tweet favorit animalpussi,Offensive Speech
poetic_success hate stripper tell theyr dancer hoe ballet dancer dont pop pussi beethoven stripper,Offensive Speech
"poffalici andrewbry poff doubl vision 2 beerspoff  doubl pussi  smh",Offensive Speech
"poobie_ bitch twerk computerm ya  ya damn ",Offensive Speech
prodsjewel_ 0sreadthepeac 0yungmindless peacepunkprinc princ art  nobodi takin bitch,Offensive Speech
qua0 61 welfaregovern aid claim white peopl yall black slander trash,No Hate and Offensive Speech
qua0 bitch dont care play role,Offensive Speech
"queen_kaaat took find hide lime treeiemonaid dis bitch da wrong tree bro",Offensive Speech
rtnba drake new shoe releas nikejordan yes there glitter shoe  dude fag,Hate Speech
rachiesoul dizzleoffici inna di ghetto alon lmaoo,No Hate and Offensive Speech
ramboutit 0maste_ olife_ ramboutit hoe austi21 teach us austini teach u get curv that know,No Hate and Offensive Speech
reachtheeclimax bitch cant cook know suck dick  one,Offensive Speech
renegademo fat hoe get chose lol,Offensive Speech
riahsm hoesaintloy well theyr hoesno one expect loyal,Offensive Speech
rishaawilliam treshon_scroog _nevertrustt ol bitch ass ,Offensive Speech
rnadjorel bruh im tire nigga retweetin miley cyrus nake bitch aint type bad lmaooo,Offensive Speech
sactownprodigi toni romo mav game dont mean still bitch lmao fuk cowgirl lol bitch fuck,Offensive Speech
"samjlayman  holi shit freddi highmor charli chocol factorym roll floor laugh",Offensive Speech
samirahusic_ dont want sex gf feel like im use  anonym whata faggot,Offensive Speech
sexualgxf  one follow    somebodi bitch dont,Offensive Speech
shaa_jenkin ya bitch alway bitch clear care annoy bitch,Offensive Speech
shantaughth catfish hoe thinkin slick nigga catch ,Offensive Speech
shewenttojordan cant worri bitch aint worri bout real,Offensive Speech
showarr side hoe insecur nigga cant handl real one,Offensive Speech
shun_stok rt bluprint_4 lmao bitch come scoot tent like fuck shit ,Offensive Speech
shun_stok cousin said share hoe brother said share care love brother ,Offensive Speech
slimgirl_probz im hungri ionn wanna spend money foo0brok hoe problem ,Offensive Speech
smeegbabi dese hoe lyin us nigga,Offensive Speech
snakecharmsdump  oh yeah fuck bitch,Offensive Speech
sportscent eli man threw nfllead h intercept season lmao trash,No Hate and Offensive Speech
sportscent usc senior rb anthoni brown call head coach steve sarkisian racist quit team   hes bitch,No Hate and Offensive Speech
stellatex guess also zero time mansplain adio stfu pussi,Offensive Speech
stephenwildboy chill 2  sexi scalli lad,No Hate and Offensive Speech
strap__ aint share bitch mine mine ,Offensive Speech
sukmysweet money impress simpl broke bitch,Offensive Speech
sylvieamx pisc never anybodi bitch dont let peopl control chang rigghhht,Offensive Speech
tee_jonez tanley kingcuh tuku ho idk blah blah blah ,No Hate and Offensive Speech
tee_jonez kingcuh tanley im mad cuh hahaha suur tuku ho ita ,No Hate and Offensive Speech
tayknosbest hoe crazi,Offensive Speech
taylorr_babe aint ever gonna slice bitch kevin hart ,Offensive Speech
thatniggatroy oomf fuckin fine tho  dam  dont bitch,Offensive Speech
thegamerkingkev wonder girl gave head 24 boy drink magaluf twitter probli send nude fag,Offensive Speech
"thenewsat newsatquestionsyeah bitch yeah bitch call _______a maybeb steveoc laterd jess pinkmanmachinegunkelli",Offensive Speech
thenymphotweet hicki thigh right pussi gtgtgt right,Offensive Speech
theonemiss_luu would still love im longer young beauti ugli monkey ass,Offensive Speech
therealricki jetsandaswish gook____ yall come frontbitch aint come,Offensive Speech
therealricki jetsandaswish faggot bitch ,Offensive Speech
the_realist_sam madri yea im ipad dont work friday let ball faggot tropicalblanketi work 25,Offensive Speech
 scalli lad would get,No Hate and Offensive Speech
theomaxximus gerryshalloweenparti  halloween yesterday stupid nigger,Hate Speech
theomaxximus chrus still supahot tho walk teacher test drop test bitch fohead ,Offensive Speech
thornto 0kantkeepahbytch love eat pussi lol never get full lo21 eat shit forev lol ever,Offensive Speech
tmacc_gfg 0voiceofdstreetz tmacc_gfg 0tizzimari slush 1hoe nasti anyway fahem hoe tast like med8,Offensive Speech
tmacc_gfg 0tizzimari slush 1hoe nasti anyway fa4,Offensive Speech
tmacc_gfg bobbi bitchbi bobbyshmurdags9 get live fuck hell yea play hoe workout,Offensive Speech
trelekidd yo bitch gucci mane rt jabarithegreat  bitch stoner  ,Offensive Speech
tweetgamelazi ride bitch handl bar,Offensive Speech
tyjoncuffe aint hoe get traphoussseeee,Offensive Speech
uberfact 15 sad tv charact death still bitter   stark man,No Hate and Offensive Speech
unholy_jack harbor bitch parti bus hoe lol,Offensive Speech
vbom woodchuc pussi love,Offensive Speech
"veronikahumbert ultraviol video come littl bitch mtvhottest lana del rey  bitchi promo",Offensive Speech
"vineforthebyrd way fuck bitch lmfao kittycopt",Offensive Speech
wbur smuggler explain help fighter along jihadi highway ,No Hate and Offensive Speech
wbeezy_ quathegreat aww avi look cute togeth    gotta get ike avi bitch ,Offensive Speech
wbeezy_ run_drc simpl dont hoedont worri expos  fight mewhi ,Offensive Speech
"wannabekany whys bitch boost her size isnt exact healthi tho",Offensive Speech
withaprettyfac onlykeisha bet bitch   kim bye,Offensive Speech
x_xpdotjdot damn near gotta protect tweet stalker annoy got dope dick drive bitch loco,Offensive Speech
xojennygirl im make marack girlfriend  marackaf aye b pullin hoe like taught,Offensive Speech
xoxo__angie bruno fag boy love,Offensive Speech
yehits_von 0run_drc must bitc21  sike naw alway beef ,Offensive Speech
yanke 61 yanke look ralli bottom 9th rallycap,No Hate and Offensive Speech
youngricooo 0wexicanafr2 dont take advantag nice perso21 hoe everyjuan,Offensive Speech
youngricooo happi birthday bitch nigga wexicanafr2 thank pal,Offensive Speech
youngricooo sad know hoe wont fuck bc aint got stack wait till friday,Offensive Speech
yungmigo shane_a1 cinco shit harder fucc niggaye fucc wit rich homi cuz dat ya homeboy fucc nicca,Offensive Speech
zoebarton3 heyd e said last sundaya last sunday read nig3,Offensive Speech
_bada_b punch real nigga face caus pussi nigga gonna punch right back strong mush shake,Offensive Speech
_beedontcar pussi still fresh lt someth stank girl say,Offensive Speech
_geewillikers_ ass slap one greatest thing haha  slap girl ass  got mad aint get pussi week,Offensive Speech
_tommycollin wearerichnow buffalobil yeah texan much better fuck retard see your mad,Offensive Speech
__malibubarbi nd wtf dark bitch blond pleas sever seat hoe look like blackampmild,Offensive Speech
__sugga there lane bitch need stay  left n get right fuck outta face ,Offensive Speech
__sneakyb hate boy deni bitch  smh,Offensive Speech
__taradise__ ya nig still say yall dont eat butt straight face,Offensive Speech
__yourewelcom im boss ass bitch need sit corner,Offensive Speech
_iwantfranni hes hoe  cant,Offensive Speech
_prettyflvck0 paul thinkin bout gettin rental da weekend oooh shit bitch betta stay da street,Offensive Speech
_rapdream bitch hold nigga get lock nigga go colleg militari differ stori ,Offensive Speech
_simplycaitlin friend hate ratchet hoe,Offensive Speech
adriwadrri love fuck nigga hoe,Offensive Speech
airmaxlad1 hot meat  sexi fuck scalli lad would love meet trainer,Offensive Speech
airmaxlad1 sniff  perv scalli lad fuck yeah,Offensive Speech
alejandra_ bitch love sosa,Offensive Speech
alexissixela__ 0white_thunduh legit watch 30 40 second 1so wtf prob caus retard smh,Offensive Speech
allisonnamaya_ name cat idea mr pussi,Offensive Speech
altostee5  woof woof sexi thug boy scalli,Offensive Speech
ambitiousbre onlykeisha u see damn phone ring  marri bitch make demand havent call,Offensive Speech
analicialouis tevin favorit sophomor think hes funni hes realli lmaoo hes littl hoe,Offensive Speech
angelenagoley 10 sex posit   u call fuck soul outta bitch ,Offensive Speech
ashlingwild itsnotadam bore suppos cute faggot sometim,Hate Speech
ayyee_ceee_ one man trash  anoth man treasur ,No Hate and Offensive Speech
babineaux_ dont got type bad bitch thing like iongotnotyp,Offensive Speech
bigbootybishopp white_thunduh lassen cc  coach want feel youll get nig doubt,Hate Speech
"bleedingtrap god teeth  gold chainwhit bitch  cocain",Offensive Speech
cheetahbluntz_ hoe ho9 shhhhh,Offensive Speech
chieflottaho dc call roller chiraq call thot across america known hoe,Offensive Speech
clayton_jen im gonna miss bitch bus driverno wont dont lie,Offensive Speech
coltforton hate bitch tri put friendzon bitch im tryin score put endzon  soul,Offensive Speech
complex_uk ashley young tri deni bird land mouth gt   hahaha,No Hate and Offensive Speech
datfullerkid trevaughnlg yall gimp aint tht bitch huh lol,Offensive Speech
deepthroatmik boys_south take ride   woof woof,No Hate and Offensive Speech
demi_eggleton oh god love victoria mitchel bitch love,Offensive Speech
djsliim long distanc shit wack knew bitch cheat uh oh,Offensive Speech
fiirt hes right   bitch smh,Offensive Speech
fatboyswag7 ban dat pussi life amp gotta pay 25 millon dollar fine,Offensive Speech
fuckcamoclark rose red violet blue nigger black know that true dyla,Offensive Speech
illa sit window sill window open bird tri fli smack protecttheanim peta,No Hate and Offensive Speech
glowstruck nigga gon nigga nigga sound fuckin retard,Offensive Speech
greggutfeld video entir media like mock  crybabi,No Hate and Offensive Speech
"gurl_im_angi itskiaraaaa westyourmajesti im even shi stfu kiki mom hi angeliqu angeliqu smile dip cracker soup",Offensive Speech
haitian__gold tim tebow got cut everi team nfl alreadi got hoe starkvill smh ,Offensive Speech
"hazelebabi karma bitch damn godprotectshisangel sip tea",Offensive Speech
hornyjhb fuckin hot gym pussi  fuck yeah,Offensive Speech
hxhassan jihadi patron hajjaj alajmi arrest kuwait airport ,No Hate and Offensive Speech
iampickuplin call fireman caus turn hoe,Offensive Speech
icrawley could never bbi lil dick thts got abort last bitch oh god,Offensive Speech
idntwearcondom watch women tri argu like dick actual fuck pussi hate bitch,Offensive Speech
ilgdaili smoke weed public fuck cop man wanna dont run come retard,Offensive Speech
itrapwatermelon tweeti bird tho ,No Hate and Offensive Speech
"irlfatti pussi sweet like watermelon thotermelon",Offensive Speech
itscoleharmon_ twitter rapper dm trash link ,No Hate and Offensive Speech
jsadass loud bitch annoy,Offensive Speech
jacaxeltlu eventu everi bitch turn hoe  truuu,Offensive Speech
jaimescudi_ tonybthrz_ jaimescudi_ swear oomf tri talk tomorrow  barackobama pussi,Offensive Speech
jama_jam bitch pretend tf crazi aint never lie,Offensive Speech
jasmyncynique white_thunduh k bye hoe um bye ,Offensive Speech
jayswaggkillah jacki retard blondeproblem least make grill chees,Hate Speech
jboii2 ima keep give pussi ass nigga ah reason hate ,Offensive Speech
jethromass photo  sole heaven,No Hate and Offensive Speech
jgabsss stacey dash   baddest bitch evaaaa,Hate Speech
juicyyyjayyyi side bitch sunday  ,Offensive Speech
"k_eaz fact baldhead bitch made shit  lmao ",Offensive Speech
kayreneeee_ fuck wit us tweakin hoe shmurda,Offensive Speech
"kazooook actin like 7th day wesgodlaflar spook",No Hate and Offensive Speech
kikistfu ill break lil bitch neck wont even feel sorri savag,Offensive Speech
leikant fuck hot scalli sneakersex sockfetish sniff trainersex  love kinki scalli,Offensive Speech
likemicah yall dumb ass nigga press hoe yall weak fuck fuck weed hoe oreo,Offensive Speech
lildurk_ turn yo bitch eaterrrrrrrrr,Offensive Speech
lildurk_ dont trust dese hoe nikki told stay fan screen shot asap finna come chiraq shoot sumn,Offensive Speech
marackaf 0white_thunduh aye yall ima tryout bowl team frf21 tryout pass tho there two retard,Offensive Speech
mayb89 u got u want bitch  enjoy  crazi parti would love attend,Offensive Speech
"metroadlib color contact eyesblind minecaus cant see lmao",No Hate and Offensive Speech
michelle_westt fact poonsoak dude hoe say dont got hoe21 j_austi,Offensive Speech
midywidey_ im rea start smack bitch period  bluffin best,Offensive Speech
"molssyo life bitch die that get high caus neva know your gonna go sister perfect ",Offensive Speech
molssyo one us drug your still wrong  currieburri hahahahahahah im bitch sometim ,Offensive Speech
morgandayle im feel pretti fuckin ghetto smh,Offensive Speech
nohand olife_ nohand dejaaleeann_ b_coleman2 swear im 1 man easili easili behind austin nip,No Hate and Offensive Speech
obey_jrock__ true ride die bitch   fuck hahahahah,Offensive Speech
oldpicsarch hgwell charli chaplin  histori photographi,No Hate and Offensive Speech
ortiz_jaylen see bruno bitch ass twitter wtf bruno see drake voic,Offensive Speech
ozzie_garza white_thunduh im cool faggot chill tf cool nigga,Offensive Speech
ozzie_garza white_thunduh im sure bitch frfr tf,Offensive Speech
poppunksuck twitter sourc news broadcast fuck retard nbc abc cnn fox etc keep quiet,Offensive Speech
queendulaaa got coupl bitch say know let money talk  im like wwyd,Offensive Speech
realfort grudg weirdosand bitch,Offensive Speech
"rhythmixx_ told mariam cigarett birthdayyou also call trash rn",No Hate and Offensive Speech
riananewman dham browni tonight kind,No Hate and Offensive Speech
rollyu text back dont give fuck ill text anoth bitch damn someon hurt lol,Offensive Speech
ronald_iongi ummmmmm okay  got hoe left right  yah thang,Offensive Speech
royalswagg_ use ymxb find slope ass,Offensive Speech
rugbysocklad fit lad nice gear  scalli lad n trainer would get,No Hate and Offensive Speech
rugbysocklad hell yeah bro  fuck yeah sexi scalli lad hot gear,Offensive Speech
rugbysocklad help mate  love scalli play fuck yeah,Offensive Speech
rugbysocklad lad lad  fuck yeah love scalli lad action hot trainer,Offensive Speech
savage_twoton next year bitch gonna like gotta promis wont expos ,Offensive Speech
scallynikelad 0sleazytwink hot rt opcinjen lick bitch  fuck yeah eat trainer u dirti fucker,Offensive Speech
sierrabernia 0_cincokilbi yall think celebr pussi differ local 1 yeah meghan good,Offensive Speech
sleepy_yongguk saw ajumma walk begin say wow trash cant even listen  lmaoo,No Hate and Offensive Speech
sniffsockslad need sox  fuck yeah love kinki scalli lad w rank sox sneak,Offensive Speech
snoleeze1 dont ever expos femal like that childish bitch nigga shiiii,Offensive Speech
